match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3922241,2024-01-29,19:00:00.000,Africa - African Cup of Nations,2023,Cape Verde Islands,Mauritania,1,0,available,unscheduled,2024-02-10T09:15:25.610680,,4,Round of 16,Stade Félix Houphouët-Boigny      ,Mohamed Adel Elsaid,Pedro Leitão Brito,Amir Abdou,1.1.0,2,2
3922240,2024-01-28,22:00:00.000,Africa - African Cup of Nations,2023,Egypt,Congo DR,1,1,available,unscheduled,2024-02-01T01:56:20.842165,,4,Round of 16,Stade Laurent Pokou,Abongile Tom,Rui Carlos Pinho da Vitória,Sébastien Desabre,1.1.0,2,2
3922238,2024-01-27,22:00:00.000,Africa - African Cup of Nations,2023,Nigeria,Cameroon,2,0,available,unscheduled,2024-02-01T16:35:40.092763,,4,Round of 16,Stade Félix Houphouët-Boigny      ,Redouane Jiyed,José Vítor dos Santos Peseiro,Rigobert Song Bahanag,1.1.0,2,2
3920396,2024-01-18,22:00:00.000,Africa - African Cup of Nations,2023,Egypt,Ghana,2,2,available,unscheduled,2024-02-01T04:43:28.953459,,2,Group Stage,Stade Félix Houphouët-Boigny      ,Pierre Ghislain Atcho,Rui Carlos Pinho da Vitória,Chris Hughton,1.1.0,2,2
3920386,2024-01-14,16:00:00.000,Africa - African Cup of Nations,2023,Nigeria,Equatorial Guinea,1,1,available,unscheduled,2024-01-24T20:57:14.452452,,1,Group Stage,Stade Olympique Alassane Ouattara,Abongile Tom,José Vítor dos Santos Peseiro,Juan Micha Obiang Bicogo,1.1.0,2,2
3920385,2024-01-14,19:00:00.000,Africa - African Cup of Nations,2023,Egypt,Mozambique,2,2,available,unscheduled,2024-01-23T02:42:47.249039,,1,Group Stage,Stade Félix Houphouët-Boigny      ,Dahane Beida,Rui Carlos Pinho da Vitória,Francisco Queriol Conde Júnior,1.1.0,2,2
3920387,2024-01-14,22:00:00.000,Africa - African Cup of Nations,2023,Ghana,Cape Verde Islands,1,2,available,unscheduled,2024-01-24T04:21:45.217991,,1,Group Stage,Stade Félix Houphouët-Boigny      ,Jean Jacques Ndala Ngambo,Chris Hughton,Pedro Leitão Brito,1.1.0,2,2
3920419,2024-01-24,22:00:00.000,Africa - African Cup of Nations,2023,Zambia,Morocco,0,1,available,unscheduled,2024-02-13T18:33:57.197620,,3,Group Stage,Stade Laurent Pokou,Patrice Tanguy Mebiame,Avraham Grant,Walid Regragui,1.1.0,2,2
3920418,2024-01-24,22:00:00.000,Africa - African Cup of Nations,2023,Tanzania,Congo DR,0,0,available,unscheduled,2024-02-10T03:50:22.516830,,3,Group Stage,Stade Amadou Gon Coulibaly,Amin Mohamed Omar,Hemed Suleiman Ali,Sébastien Desabre,1.1.0,2,2
3920417,2024-01-24,19:00:00.000,Africa - African Cup of Nations,2023,Namibia,Mali,0,0,available,unscheduled,2024-02-04T23:58:48.675183,,3,Group Stage,Stade Laurent Pokou,Samuel Uwikunda,Collin Benjamin,Éric Chelle,1.1.0,2,2
3920416,2024-01-24,19:00:00.000,Africa - African Cup of Nations,2023,South Africa,Tunisia,0,0,available,unscheduled,2024-02-10T01:37:52.053491,,3,Group Stage,Stade Amadou Gon Coulibaly,Issa Sy,Hugo Henri Broos,Jalel Kadri,1.1.0,2,2
3920415,2024-01-23,22:00:00.000,Africa - African Cup of Nations,2023,Mauritania,Algeria,1,0,available,unscheduled,2024-02-09T23:26:09.999232,,3,Group Stage,Stade de Bouaké,Omar Abdulkadir Artan,Amir Abdou,Djamel Belmadi,1.1.0,2,2
